"Qty","Reference","Description","Manufacturer","Manufacturer PN","Supplier","Supplier PN"
"8","R19,R20,R21,R22,R33,R34,R35,R36","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 330Ω 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","JLCPCB","C25104"
"1","R37","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 300Ω 0603 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","0603WAF3000T5E","JLCPCB","C23025"
"16","R9,R10,R11,R12,R13,R14,R15,R16,R44,R45,R47,R53,R58,R59,R60,R61","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 6.8kΩ 0603 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","0603WAF6801T5E","JLCPCB","C23212"
"16","R1,R2,R3,R4,R5,R6,R7,R8,R38,R39,R40,R42,R54,R55,R56,R57","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 6.8kΩ 0805 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","0805W8F6801T5E","JLCPCB","C17772"
"1","D2","40V Independent Type 3A 550mV@3A SMA(DO-214AC) Schottky Diodes ROHS","MDD(Microdiode Semiconductor)","SS34","JLCPCB","C8678"
"1","D1","Independent Type 26.6V~29.4V 500mW 28V SOD-123 Zener Diodes ROHS","Diodes Incorporated"," MMSZ5255B-7-F","JLCPCB","C145091"
"1","D15","30V 230mV@100mA 1A SC-76(SOD-323) Schottky Diodes ROHS","TOSHIBA","CUS10S30,H3F","JLCPCB","C146335"
"1","C1","50V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Murata Electronics","GRM21BR61H106KE43L","JLCPCB","C440198"
"1","J3","300V 8A 8 Bend Brass 1 3.5mm 1x8P Green Receptacle-Close Tin Push-Pull,P=3.5mm Pluggable System Terminal Block ROHS","Ningbo Xinlaiya Elec.","XY2500R-G-3.5-8P","JLCPCB","C880578"
"1","F1","33V 750mA 100A 1.5A 1812 Resettable Fuses ROHS","Jinrui Electronic Materials Co.","JK-mSMD075-33","JLCPCB","C369169"
"1","U7","SSOP-18-4.4mm Power Distribution Switches ROHS","TOSHIBA","TBD62783AFNG,EL","JLCPCB","C2653777"
"1","TB2","1x4P 20A -40℃~+105℃ 300V Green 12~30 Direct Insert 5.08mm 2.5 1 4 Plugin,P=5.08mm Screw Terminal Blocks ROHS","DORABO","DB128V-5.08-4P-GN-S","JLCPCB","C2915641"
"2","D11,D12","100V 2 Pair Common Cathode 1.25V@150mA 4ns 250mA SOT-363 Switching Diodes ROHS","Nexperia"," BAV70S,115","JLCPCB","C455031"
"1","D13","90A 4.5kW 45V@90A 26.7V Unidirectional 24V SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS","BORN","PTVS24VS1UR-N","JLCPCB","C5148487"
"2","J1,J6","2~24 Poles, Pluggable,Receptacle, Horizontal, 3.81 Pitch, Terminal Block Connector","CUI Devices","TBP02R1-381-08BE","JLCPCB","C2828337"
"1","R18","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 3.24kΩ 0402  Chip Resistor - Surface Mount ROHS","TA-I Tech","RM04FTN3241","JLCPCB","C162875"
